fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.97367,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.98422,0.00663,0.01114,0.937,0.00055,1.98195,0.85285,5.86339,0.40831,1.75885,0.015,0.61702,0.4,0.0,0.11487,0.5,0.0,0.0,0.0,0.5,0.0,0.78304,0.0,0.0,0.0
0.98491,0.00583,0.01223,0.91047,0.00057,2.29711,0.82179,6.34491,0.46396,1.75885,0.01386,0.55742,0.43566,0.0,0.11797,0.52309,0.0,0.0,0.0,0.52857,0.0,0.91703,0.0,0.0,0.0
0.99075,0.00614,0.01114,0.92399,0.00055,1.85131,0.81485,6.2974,0.41259,1.63508,0.015,0.56846,0.38093,0.0,0.11487,0.53677,0.0,0.0,0.0,0.51073,0.0,0.78119,0.0,0.0,0.0
0.98712,0.00736,0.01442,0.98,0.00059,2.25347,0.87916,6.12012,0.43212,1.75885,0.01507,0.61702,0.24962,0.0,0.11174,0.5,0.0,0.0,0.0,0.60952,0.0,0.7716,0.0,0.0,0.0
0.98171,0.00747,0.015,0.98,0.0005,1.97473,0.80656,6.21876,0.48089,1.51642,0.02094,0.63169,0.22701,0.0,0.08703,0.53619,0.0,0.0,0.0,0.60952,0.0,0.75821,0.0,0.0,0.0
0.98232,0.00791,0.01442,0.97609,0.00047,1.66638,0.95,6.12012,0.4172,1.97245,0.01507,0.4895,0.28814,0.0,0.10328,0.5,0.0,0.0,0.0,0.41076,0.0,1.0,0.0,0.0,0.0
0.98358,0.00614,0.01113,0.92434,0.00055,1.8489,0.81494,6.29704,0.41214,1.63369,0.01503,0.56799,0.38093,0.0,0.11497,0.53639,0.0,0.0,0.0,0.51178,0.0,0.78383,0.0,0.0,0.0
0.99187,0.00647,0.0118,0.88404,0.00053,1.91883,0.71281,6.2974,0.41259,1.93114,0.01091,0.56846,0.40429,0.0,0.11716,0.53926,0.0,0.0,0.0,0.53901,0.0,0.88908,0.0,0.0,0.0
0.98972,0.00649,0.01175,0.88388,0.00053,1.91054,0.71491,6.27489,0.41306,1.93463,0.01091,0.56655,0.40415,0.0,0.11718,0.53899,0.0,0.0,0.0,0.53901,0.0,0.88688,0.0,0.0,0.0
0.99228,0.00642,0.01175,0.8905,0.00054,2.25044,0.56075,6.97634,0.41306,1.93463,0.01082,0.56655,0.36516,0.0,0.11436,0.51347,0.0,0.0,0.0,0.48492,0.0,1.0,0.0,0.0,0.0
0.9846,0.00647,0.0128,0.88404,0.00051,2.17183,0.69422,6.4855,0.40395,1.83452,0.01103,0.61553,0.41467,0.0,0.11716,0.58261,0.0,0.0,0.0,0.53901,0.0,0.85975,0.0,0.0,0.0
0.98988,0.00497,0.01003,0.92885,0.00057,1.81041,0.82666,6.64326,0.38705,1.93114,0.00979,0.54178,0.39774,0.0,0.11716,0.4469,0.0,0.0,0.0,0.53901,0.0,1.0,0.0,0.0,0.0
0.9831,0.00603,0.01143,0.87704,0.0005,1.7517,0.67331,6.55843,0.41259,1.93114,0.0114,0.56846,0.46046,0.0,0.11716,0.51683,0.0,0.0,0.0,0.53901,0.0,0.79952,0.0,0.0,0.0
0.98252,0.00647,0.01228,0.9641,0.00049,1.77109,0.8135,7.21977,0.39245,1.61297,0.01091,0.56846,0.3942,0.0,0.13063,0.60327,0.0,0.0,0.0,0.74135,0.0,0.88908,0.0,0.0,0.0
0.97374,0.00692,0.0128,0.93373,0.00059,2.36706,0.6167,6.78435,0.40687,1.75518,0.01012,0.5846,0.36516,0.0,0.10477,0.5147,0.0,0.0,0.0,0.4412,0.0,1.0,0.0,0.0,0.0
0.97814,0.00569,0.01302,0.89212,0.00075,1.85131,0.95,6.2974,0.41259,1.90033,0.00909,0.45066,0.43003,0.0,0.12203,0.42486,0.0,0.0,0.0,0.63567,0.0,0.78119,0.0,0.0,0.0
0.98978,0.00694,0.01159,0.84517,0.00054,2.17226,0.54717,6.87071,0.41756,2.03763,0.01067,0.56655,0.35221,0.0,0.11436,0.50548,0.0,0.0,0.0,0.50811,0.0,0.98894,0.0,0.0,0.0
0.98184,0.00531,0.00955,0.96746,0.00048,1.81448,0.70062,6.47974,0.37642,1.54139,0.015,0.50768,0.41372,0.0,0.10135,0.62107,0.0,0.0,0.0,0.46134,0.0,0.78119,0.0,0.0,0.0
0.97564,0.00497,0.01247,0.92504,0.00059,1.81041,0.93711,6.32515,0.3688,1.93114,0.00656,0.54178,0.44834,0.0,0.12437,0.48048,0.0,0.0,0.0,0.69124,0.0,0.87386,0.0,0.0,0.0
